City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,mangit,40.5971,70.9607,-5.7,67,21,2.18,UZ,1674266352
254,noyabrsk,63.1994,75.4507,-23.38,97,100,10.18,RU,1674266352
255,tautira,-17.7333,-149.15,26.85,69,77,3.09,PF,1674266353
256,camopi,3.1655,-52.3158,21.59,99,100,1.05,GF,1674266353
257,vardo,70.3705,31.1107,0.66,77,22,8.95,NO,1674266353
258,souillac,-20.5167,57.5167,24.21,94,75,1.54,MU,1674266353
259,dunedin,-45.8742,170.5036,17.11,52,3,2.68,NZ,1674266302
260,ossora,59.2353,163.0719,-27.72,83,4,2.97,RU,1674266353
261,khamaria,23.2167,79.8833,16.71,70,0,1.85,IN,1674266354
262,tuktoyaktuk,69.4541,-133.0374,-24.0,77,100,2.06,CA,1674266354
263,tasiilaq,65.6145,-37.6368,-17.86,89,32,2.84,GL,1674266354
264,menongue,-14.6585,17.691,15.04,96,100,2.23,AO,1674266354
265,geraldton,-28.7667,114.6,27.23,65,0,4.12,AU,1674266069
266,myingyan,21.4667,95.3833,19.5,52,34,1.6,MM,1674266355
267,vanimo,-2.6741,141.3028,28.98,69,72,1.28,PG,1674266355
268,catio,11.2833,-15.25,21.12,76,0,0.17,GW,1674266355
269,aksu,41.1231,80.2644,-17.55,83,4,1.9,CN,1674266356
270,camacha,33.0833,-16.3333,14.68,67,40,3.09,PT,1674266356
271,norman wells,65.282,-126.8329,-24.98,77,20,2.06,CA,1674266356
272,wewak,-3.5534,143.6268,28.6,74,100,3.3,PG,1674266356
273,kingaroy,-26.5333,151.8333,28.48,37,7,4.47,AU,1674266111
274,tiksi,71.6872,128.8694,-31.17,94,47,1.73,RU,1674266356
275,galle,6.0367,80.217,24.41,85,76,3.2,LK,1674266325
276,bambous virieux,-20.3428,57.7575,24.14,94,75,1.54,MU,1674266357
277,coihaique,-45.5752,-72.0662,17.97,68,0,1.54,CL,1674266357
278,pevek,69.7008,170.3133,-35.28,100,100,1.21,RU,1674266357
279,fort saint james,54.4333,-124.25,-3.13,98,100,1.83,CA,1674266357
280,teahupoo,-17.8333,-149.2667,26.98,71,77,3.22,PF,1674266357
281,sao filipe,14.8961,-24.4956,21.97,69,1,5.61,CV,1674266358
282,bilibino,68.0546,166.4372,-36.85,100,100,1.23,RU,1674266358
283,boralday,43.3578,76.8594,-16.08,85,51,2.0,KZ,1674266358
284,mae sai,20.4335,99.8762,20.24,62,5,0.42,TH,1674266358
285,marzuq,14.4,46.4667,12.52,48,3,0.36,YE,1674266359
286,port hardy,50.6996,-127.4199,7.1,81,75,7.2,CA,1674266359
287,hokitika,-42.7167,170.9667,19.33,58,13,3.96,NZ,1674266268
288,congonhas,-20.4997,-43.8578,17.73,96,100,1.03,BR,1674266359
289,shenzhen,22.5455,114.0683,17.97,88,89,2.34,CN,1674266239
290,san lawrenz,36.0553,14.204,11.59,66,99,2.68,MT,1674266359
291,pangnirtung,66.1451,-65.7125,-30.62,95,98,2.84,CA,1674266359
292,soller,39.7662,2.7152,8.35,66,11,1.34,ES,1674266359
293,la palma,33.8464,-118.0467,14.49,67,0,1.34,US,1674266360
294,taoudenni,22.6783,-3.9836,16.2,18,0,5.22,ML,1674266360
295,longonjo,-12.9067,15.2533,15.14,92,100,1.07,AO,1674266360
296,kahului,20.8947,-156.47,26.02,82,35,3.13,US,1674266360
297,srednekolymsk,67.45,153.6833,-36.35,99,100,2.82,RU,1674266360
298,lagoa,39.05,-27.9833,15.31,83,27,9.43,PT,1674266360
299,hofn,64.2539,-15.2082,8.28,96,100,17.63,IS,1674266360
300,anchorage,61.2181,-149.9003,-0.63,90,100,5.81,US,1674266360
301,nome,64.5011,-165.4064,-27.13,78,91,2.36,US,1674266361
302,lahaina,20.8783,-156.6825,26.0,82,20,2.14,US,1674266361
303,plettenberg bay,-34.0527,23.3716,19.54,88,1,1.39,ZA,1674266361
304,camacupa,-12.0167,17.4833,15.14,91,100,0.95,AO,1674266361
305,salinopolis,-0.6136,-47.3561,25.58,84,86,4.25,BR,1674266362
306,ulkan,57.243,107.3223,-41.9,100,100,1.0,RU,1674266362
307,port hawkesbury,45.6169,-61.3485,0.88,96,100,3.6,CA,1674266362
308,sayyan,15.1718,44.3244,8.2,43,0,1.0,YE,1674266362
309,goedereede,51.8175,3.9806,1.11,86,6,2.24,NL,1674266362
310,juneau,58.3019,-134.4197,3.95,100,100,3.61,US,1674266362
311,carberry,49.8689,-99.3602,-12.87,87,99,4.8,CA,1674266362
312,morehead,37.2711,-87.1764,2.19,87,0,0.0,US,1674266363
313,tegh,39.5579,46.4772,-2.59,84,67,0.36,AM,1674266363
314,rassvet,46.8333,40.75,-1.64,75,100,10.19,RU,1674266363
315,klaksvik,62.2266,-6.589,6.51,94,100,19.03,FO,1674266363
316,bulgan,48.8125,103.5347,-21.57,89,100,0.65,MN,1674266364
317,dedza,-14.3779,34.3332,15.14,97,100,0.5,MW,1674266364
318,huarmey,-10.0681,-78.1522,21.33,81,95,2.79,PE,1674266364
319,falesti,47.5736,27.7092,8.04,85,100,6.21,MD,1674266364
320,touros,-5.1989,-35.4608,26.2,77,49,4.87,BR,1674266364
321,aragats,40.4889,44.3528,-13.24,54,60,1.36,AM,1674266364
322,vredendal,-31.6683,18.5012,16.36,93,1,2.25,ZA,1674266364
